#session,step,active_part,passive_part,action,msg_content,msg_type
8,0,bob,-,AnBx_Params,X1;X36,anbxj.AnBx_Params
8,0,bob,-,inv_check,X36,anbxj.Crypto_ByteArray.toString
8,0,bob,-,eq_check,alice,java.lang.String.toString
8,1,bob,-,generateNumber,X37,anbxj.Crypto_ByteArray
8,1,bob,-,generateNumber,X38,anbxj.Crypto_ByteArray
8,1,bob,-,AnBx_Params,X39;X38,anbxj.AnBx_Params
8,1,bob,alice,sent,@7a35b0f5,javax.crypto.SealedObject
8,1,alice,bob,received,@7a35b0f5,javax.crypto.SealedObject
8,1,alice,-,eq_check,X39,anbxj.Crypto_ByteArray.toString
8,2,alice,bob,sent,@50378a4,javax.crypto.SealedObject
8,2,bob,alice,received,@50378a4,javax.crypto.SealedObject
8,2,bob,-,eq_check,X40,anbxj.Crypto_ByteArray.toString
8,3,bob,alice,sent,@273444fe,javax.crypto.SealedObject
8,3,alice,bob,received,@273444fe,javax.crypto.SealedObject
8,3,alice,-,inv_check,X38,anbxj.Crypto_ByteArray.toString
8,3,alice,-,inv_check,X37,anbxj.Crypto_ByteArray.toString
9,0,alice,-,generateNumber,X41,anbxj.Crypto_ByteArray
9,0,alice,-,AnBx_Params,X1;X41,anbxj.AnBx_Params
9,0,alice,-,AnBx_Params,alice;@4f0f2942,anbxj.AnBx_Params
9,0,alice,bob,sent,alice;@4f0f2942,javax.crypto.SealedObject
9,0,bob,alice,received,alice;@4f0f2942,javax.crypto.SealedObject
9,0,bob,-,AnBx_Params,X1;X41,anbxj.AnBx_Params
9,0,bob,-,inv_check,X41,anbxj.Crypto_ByteArray.toString
9,0,bob,-,eq_check,alice,java.lang.String.toString
9,1,bob,-,generateNumber,X42,anbxj.Crypto_ByteArray
9,1,bob,-,generateNumber,X43,anbxj.Crypto_ByteArray
9,1,bob,-,AnBx_Params,X44;X43,anbxj.AnBx_Params
9,1,bob,alice,sent,@7c137fd5,javax.crypto.SealedObject
9,1,alice,bob,received,@7c137fd5,javax.crypto.SealedObject
9,1,alice,-,eq_check,X44,anbxj.Crypto_ByteArray.toString
9,2,alice,bob,sent,@7dfb0c0f,javax.crypto.SealedObject
9,2,bob,alice,received,@7dfb0c0f,javax.crypto.SealedObject
9,2,bob,-,eq_check,X45,anbxj.Crypto_ByteArray.toString
9,3,bob,alice,sent,@4d1c005e,javax.crypto.SealedObject
9,3,alice,bob,received,@4d1c005e,javax.crypto.SealedObject
9,3,alice,-,inv_check,X43,anbxj.Crypto_ByteArray.toString
9,3,alice,-,inv_check,X42,anbxj.Crypto_ByteArray.toString
10,0,alice,-,generateNumber,X46,anbxj.Crypto_ByteArray
10,0,alice,-,AnBx_Params,X1;X46,anbxj.AnBx_Params
10,0,alice,-,AnBx_Params,alice;@1e4f4a5c,anbxj.AnBx_Params
10,0,alice,bob,sent,alice;@1e4f4a5c,javax.crypto.SealedObject
10,0,bob,alice,received,alice;@1e4f4a5c,javax.crypto.SealedObject
10,0,bob,-,AnBx_Params,X1;X46,anbxj.AnBx_Params
10,0,bob,-,inv_check,X46,anbxj.Crypto_ByteArray.toString
10,0,bob,-,eq_check,alice,java.lang.String.toString
10,1,bob,-,generateNumber,X47,anbxj.Crypto_ByteArray
10,1,bob,-,generateNumber,X48,anbxj.Crypto_ByteArray
10,1,bob,-,AnBx_Params,X49;X48,anbxj.AnBx_Params
10,1,bob,alice,sent,@1972e513,javax.crypto.SealedObject
10,1,alice,bob,received,@1972e513,javax.crypto.SealedObject
10,1,alice,-,eq_check,X49,anbxj.Crypto_ByteArray.toString
10,2,alice,bob,sent,@7dc3712,javax.crypto.SealedObject
10,2,bob,alice,received,@7dc3712,javax.crypto.SealedObject
10,2,bob,-,eq_check,X50,anbxj.Crypto_ByteArray.toString
10,3,bob,alice,sent,@433defed,javax.crypto.SealedObject
10,3,alice,bob,received,@433defed,javax.crypto.SealedObject
10,3,alice,-,inv_check,X48,anbxj.Crypto_ByteArray.toString
10,3,alice,-,inv_check,X47,anbxj.Crypto_ByteArray.toString
