#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
18:53:43:776,2,3,bob,alice,sent,@46d56d67,javax.crypto.SealedObject
18:53:43:822,2,3,alice,bob,received,@46d56d67,javax.crypto.SealedObject
18:53:43:826,2,3,alice,-,AnBx_Params,X7;alice;X6,anbxj.AnBx_Params
18:53:43:826,2,3,alice,-,eq_check,alice,java.lang.String.toString
00:00:00:000,3,0,alice,-,eq_check,alice!,java.lang.String.toString
18:53:43:826,3,0,alice,-,generateNumber,X8,anbxj.Crypto_ByteArray
18:53:43:837,3,0,alice,-,generateNumber,X9,anbxj.Crypto_ByteArray
18:53:43:847,3,0,alice,-,AnBx_Params,X8;charlie;X9,anbxj.AnBx_Params
18:53:43:851,3,0,alice,bob,sent,X8;charlie;X9,javax.crypto.SealedObject
00:00:00:000,3,0,bob,-,eq_check,bob!,java.lang.String.toString
00:00:00:000,3,0,bob,-,eq_check,bob!,java.lang.String.toString
18:53:43:893,3,0,bob,alice,received,bob!,javax.crypto.SealedObject
18:53:43:894,3,0,bob,-,inv_check,@28d25987,javax.crypto.SealedObject.toString
18:53:43:895,3,1,bob,charlie,sent,@28d25987,javax.crypto.SealedObject
18:53:43:938,3,1,charlie,bob,received,@28d25987,javax.crypto.SealedObject
18:53:43:941,3,1,charlie,-,AnBx_Params,X8;charlie;X9,anbxj.AnBx_Params
18:53:43:942,3,1,charlie,-,eq_check,charlie,java.lang.String.toString
18:53:43:942,3,2,charlie,-,generateNumber,X10,anbxj.Crypto_ByteArray
18:53:43:955,3,2,charlie,-,generateNumber,X11,anbxj.Crypto_ByteArray
18:53:43:966,3,2,charlie,-,AnBx_Params,X11;alice;X10,anbxj.AnBx_Params
18:53:43:970,3,2,charlie,bob,sent,X11;alice;X10,javax.crypto.SealedObject
18:53:44:013,3,2,bob,charlie,received,X11;alice;X10,javax.crypto.SealedObject
18:53:44:014,3,2,bob,-,inv_check,@5b275dab,javax.crypto.SealedObject.toString
18:53:44:014,3,3,bob,alice,sent,@46d56d67,javax.crypto.SealedObject
18:53:44:056,3,3,alice,bob,received,@46d56d67,javax.crypto.SealedObject
18:53:44:059,3,3,alice,-,AnBx_Params,X7;alice;X6,anbxj.AnBx_Params
18:53:44:059,3,3,alice,-,eq_check,alice,java.lang.String.toString
00:00:00:000,4,0,alice,-,eq_check,alice!,java.lang.String.toString
18:53:44:059,4,0,alice,-,generateNumber,X12,anbxj.Crypto_ByteArray
18:53:44:072,4,0,alice,-,generateNumber,X13,anbxj.Crypto_ByteArray
18:53:44:083,4,0,alice,-,AnBx_Params,X12;charlie;X13,anbxj.AnBx_Params
18:53:44:086,4,0,alice,bob,sent,X12;charlie;X13,javax.crypto.SealedObject
00:00:00:000,4,0,bob,-,eq_check,bob!,java.lang.String.toString
00:00:00:000,4,0,bob,-,eq_check,bob!,java.lang.String.toString
18:53:44:131,4,0,bob,alice,received,bob!,javax.crypto.SealedObject
18:53:44:131,4,0,bob,-,inv_check,@61832929,javax.crypto.SealedObject.toString
18:53:44:132,4,1,bob,charlie,sent,@61832929,javax.crypto.SealedObject
18:53:44:175,4,1,charlie,bob,received,@61832929,javax.crypto.SealedObject
18:53:44:179,4,1,charlie,-,AnBx_Params,X12;charlie;X13,anbxj.AnBx_Params
18:53:44:179,4,1,charlie,-,eq_check,charlie,java.lang.String.toString
18:53:44:179,4,2,charlie,-,generateNumber,X14,anbxj.Crypto_ByteArray
18:53:44:192,4,2,charlie,-,generateNumber,X15,anbxj.Crypto_ByteArray
18:53:44:204,4,2,charlie,-,AnBx_Params,X15;alice;X14,anbxj.AnBx_Params
18:53:44:209,4,2,charlie,bob,sent,X15;alice;X14,javax.crypto.SealedObject
18:53:44:253,4,2,bob,charlie,received,X15;alice;X14,javax.crypto.SealedObject
18:53:44:253,4,2,bob,-,inv_check,@5e5792a0,javax.crypto.SealedObject.toString
18:53:44:254,4,3,bob,alice,sent,@46d56d67,javax.crypto.SealedObject
18:53:44:295,4,3,alice,bob,received,@46d56d67,javax.crypto.SealedObject
18:53:44:301,4,3,alice,-,AnBx_Params,X7;alice;X6,anbxj.AnBx_Params
18:53:44:302,4,3,alice,-,eq_check,alice,java.lang.String.toString
00:00:00:000,5,0,alice,-,eq_check,alice!,java.lang.String.toString
18:53:44:302,5,0,alice,-,generateNumber,X16,anbxj.Crypto_ByteArray
18:53:44:313,5,0,alice,-,generateNumber,X17,anbxj.Crypto_ByteArray
18:53:44:324,5,0,alice,-,AnBx_Params,X16;charlie;X17,anbxj.AnBx_Params
18:53:44:326,5,0,alice,bob,sent,X16;charlie;X17,javax.crypto.SealedObject
00:00:00:000,5,0,bob,-,eq_check,bob!,java.lang.String.toString
00:00:00:000,5,0,bob,-,eq_check,bob!,java.lang.String.toString
18:53:44:368,5,0,bob,alice,received,bob!,javax.crypto.SealedObject
18:53:44:368,5,0,bob,-,inv_check,@26653222,javax.crypto.SealedObject.toString
18:53:44:369,5,1,bob,charlie,sent,@26653222,javax.crypto.SealedObject
18:53:44:411,5,1,charlie,bob,received,@26653222,javax.crypto.SealedObject
18:53:44:419,5,1,charlie,-,AnBx_Params,X16;charlie;X17,anbxj.AnBx_Params
18:53:44:420,5,1,charlie,-,eq_check,charlie,java.lang.String.toString
18:53:44:420,5,2,charlie,-,generateNumber,X18,anbxj.Crypto_ByteArray
18:53:44:432,5,2,charlie,-,generateNumber,X19,anbxj.Crypto_ByteArray
18:53:44:445,5,2,charlie,-,AnBx_Params,X19;alice;X18,anbxj.AnBx_Params
18:53:44:447,5,2,charlie,bob,sent,X19;alice;X18,javax.crypto.SealedObject
18:53:44:492,5,2,bob,charlie,received,X19;alice;X18,javax.crypto.SealedObject
18:53:44:492,5,2,bob,-,inv_check,@ae45eb6,javax.crypto.SealedObject.toString
18:53:44:494,5,3,bob,alice,sent,@ae45eb6,javax.crypto.SealedObject
18:53:44:538,5,3,alice,bob,received,@ae45eb6,javax.crypto.SealedObject
18:53:44:549,5,3,alice,-,AnBx_Params,X19;alice;X18,anbxj.AnBx_Params
18:53:44:550,5,3,alice,-,eq_check,alice,java.lang.String.toString
00:00:00:000,6,0,alice,-,eq_check,alice!,java.lang.String.toString
18:53:44:550,6,0,alice,-,generateNumber,X20,anbxj.Crypto_ByteArray
18:53:44:563,6,0,alice,-,generateNumber,X21,anbxj.Crypto_ByteArray
18:53:44:576,6,0,alice,-,AnBx_Params,X20;charlie;X21,anbxj.AnBx_Params
18:53:44:578,6,0,alice,bob,sent,X20;charlie;X21,javax.crypto.SealedObject
00:00:00:000,6,0,bob,-,eq_check,bob!,java.lang.String.toString
00:00:00:000,6,0,bob,-,eq_check,bob!,java.lang.String.toString
18:53:44:620,6,0,bob,alice,received,bob!,javax.crypto.SealedObject
18:53:44:620,6,0,bob,-,inv_check,@6f7fd0e6,javax.crypto.SealedObject.toString
18:53:44:621,6,1,bob,charlie,sent,@6f7fd0e6,javax.crypto.SealedObject
18:53:44:665,6,1,charlie,bob,received,@6f7fd0e6,javax.crypto.SealedObject
18:53:44:669,6,1,charlie,-,AnBx_Params,X20;charlie;X21,anbxj.AnBx_Params
18:53:44:669,6,1,charlie,-,eq_check,charlie,java.lang.String.toString
18:53:44:670,6,2,charlie,-,generateNumber,X22,anbxj.Crypto_ByteArray
18:53:44:681,6,2,charlie,-,generateNumber,X23,anbxj.Crypto_ByteArray
18:53:44:694,6,2,charlie,-,AnBx_Params,X23;alice;X22,anbxj.AnBx_Params
18:53:44:696,6,2,charlie,bob,sent,X23;alice;X22,javax.crypto.SealedObject
18:53:44:738,6,2,bob,charlie,received,X23;alice;X22,javax.crypto.SealedObject
18:53:44:739,6,2,bob,-,inv_check,@66a3ffec,javax.crypto.SealedObject.toString
18:53:44:739,6,3,bob,alice,sent,@ae45eb6,javax.crypto.SealedObject
18:53:44:783,6,3,alice,bob,received,@ae45eb6,javax.crypto.SealedObject
18:53:44:793,6,3,alice,-,AnBx_Params,X19;alice;X18,anbxj.AnBx_Params
18:53:44:794,6,3,alice,-,eq_check,alice,java.lang.String.toString
00:00:00:000,7,0,alice,-,eq_check,alice!,java.lang.String.toString
18:53:44:794,7,0,alice,-,generateNumber,X24,anbxj.Crypto_ByteArray
18:53:44:806,7,0,alice,-,generateNumber,X25,anbxj.Crypto_ByteArray
18:53:44:818,7,0,alice,-,AnBx_Params,X24;charlie;X25,anbxj.AnBx_Params
18:53:44:820,7,0,alice,bob,sent,X24;charlie;X25,javax.crypto.SealedObject
00:00:00:000,7,0,bob,-,eq_check,bob!,java.lang.String.toString
00:00:00:000,7,0,bob,-,eq_check,bob!,java.lang.String.toString
18:53:44:863,7,0,bob,alice,received,bob!,javax.crypto.SealedObject
